"chla","temp","bar","nas","przew","ph","namon"
3.1,7.5,5,104.52,118,7.6,NA
NA,11.8,5,90.1,173,7.86,0.05
NA,20.2,0,85.3,174,7.91,0.12
NA,7.8,0,102.6,169,7.6,0.05
NA,16.5,NA,55.2,219,7.88,0.05
NA,23.3,NA,60.2,177,8.55,0.05
NA,12.3,NA,87,121,8.12,0.05
10.1,12.6,NA,112.5,199,8.42,0.1
9.5,19.6,NA,64.6,190,8.21,0.05
8.5,11.9,NA,106.54,178,8.3,0.05
2.7,14,5,84.47,168,7.6,NA
12.7,20.9,5,94.19,194,8.2,NA
8,11.5,0,109.27,157,8.5,NA
14.6,17,NA,84.89,NA,8,NA
5.3,20,NA,77.09,NA,7.7,NA
7.9,10.2,NA,95.45,NA,7.9,NA
7.7,14.4,NA,82.26,NA,7.7,NA
10.3,17.2,NA,87.32,NA,7.9,NA
15.2,10,NA,96.8,NA,8,NA
10.1,14.5,0,91.27,NA,8.1,0.1
NA,22.2,0,89.68,NA,7.9,0.1
12.1,14.2,0,103.35,NA,8,NA
3.5,18,5,87.74,227,7.8,NA
NA,NA,NA,NA,NA,NA,NA
2.1,20,5,69.38,181,7.6,NA
NA,NA,NA,NA,NA,NA,NA
5.7,15,NA,112.1,165,8.4,NA
NA,NA,NA,NA,NA,NA,NA
4.8,NA,NA,NA,176,NA,NA
NA,NA,NA,NA,NA,NA,NA
14.2,NA,NA,NA,164,NA,NA
NA,NA,NA,NA,NA,NA,NA
17.1,NA,NA,NA,171,NA,NA
NA,NA,NA,NA,NA,NA,NA
1.6,12,20,81.71,186,7.8,0.1
NA,NA,NA,NA,NA,NA,NA
11.5,16,25,99.39,160,8.1,0.1
NA,NA,NA,NA,NA,NA,NA
30.4,8.5,10,110.54,171,8.6,NA
NA,NA,NA,NA,NA,NA,NA
NA,15.2,10,72.74,176,7.5,NA
NA,NA,NA,NA,NA,NA,NA
8.7,21,10,107.87,173,8.8,NA
NA,NA,NA,NA,NA,NA,NA
0,5,30,91.05,133,7.6,NA
NA,NA,NA,NA,NA,NA,NA
3.4,14.8,NA,95.8,NA,8.3,NA
2.6,24.3,NA,102.8,NA,8.5,NA
NA,5.4,NA,90.9,NA,8,NA
NA,10.1,NA,66.6,NA,7.6,NA
3.1,6.6,NA,101.4,NA,8.4,NA
2.6,23.5,NA,101,NA,8.8,NA
NA,5.4,NA,75.3,NA,8.4,NA
NA,14.4,NA,57.4,NA,7.7,NA
2.5,7.8,NA,99.4,NA,8.3,NA
2.5,23,NA,119,NA,8.7,NA
NA,5.8,NA,92.4,NA,8.1,NA
NA,8.6,NA,74,NA,7.8,NA
1.34,6,NA,95.4,NA,8.4,NA
4.01,19.1,NA,103.6,NA,8.6,NA
NA,4,NA,83,NA,8.1,NA
NA,13.5,NA,80.1,NA,8,NA
NA,1,NA,88.61,NA,8.4,NA
NA,3,NA,81.84,NA,8.3,NA
NA,3.3,NA,95.24,NA,8.2,NA
NA,19.9,NA,72.54,NA,8.4,NA
NA,23.4,NA,105.81,NA,8.4,NA
NA,20,NA,92.51,NA,8.5,NA
NA,14,NA,93.2,NA,8.3,NA
NA,6.8,NA,87.08,NA,8.4,NA
NA,4.4,NA,98.84,NA,8.4,NA
NA,7.2,NA,73.86,NA,8.2,NA
NA,8,NA,88.06,NA,8.3,NA
NA,21.8,NA,89,NA,8,NA
NA,22,NA,90.49,NA,8.5,NA
NA,19.6,NA,91.74,NA,8.2,NA
NA,16.2,NA,93.69,NA,8.3,NA
NA,10.2,NA,92.77,NA,8.4,NA
NA,5,NA,103.61,NA,8.3,NA
NA,3.6,NA,102.8,NA,8.4,NA
NA,6.4,NA,102.47,NA,8,NA
NA,19.5,NA,61.04,NA,8.5,NA
NA,21.1,NA,77.68,NA,8.4,NA
NA,19.9,NA,91.22,NA,8.5,NA
NA,13.6,NA,84.68,NA,8.4,NA
NA,8.3,NA,89.54,NA,8.1,NA
NA,6.1,NA,96.05,NA,8,NA
NA,14.6,NA,95.4,NA,8.1,NA
3,19.2,NA,88.82,NA,8.4,NA
3.4,18,NA,76.11,NA,8.4,NA
NA,25.7,NA,103.04,NA,8.5,NA
3,19.6,NA,95.02,NA,8.6,NA
17,17.6,NA,94.34,322,8,NA
54,23.3,NA,97.39,278,7.5,NA
15.1,23.1,NA,94.69,310,8,NA
58,22.8,NA,169.73,322,8.8,NA
29.8,16.1,NA,128.05,258,8.6,NA
32,10.9,NA,99.68,343,8.3,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,0,30,84.1,360,7,NA
NA,4.9,40,78.9,347,7.6,NA
NA,9,20,81.1,323,7.5,NA
NA,14.8,40,87.6,307,7.9,NA
NA,20.3,50,77,294,7.9,NA
NA,21,50,104.3,303,7.7,NA
NA,21,40,64.3,317,7.7,NA
NA,18.3,50,139.7,301,8.5,NA
NA,11.5,40,113.2,318,8.4,NA
NA,6.5,40,98.9,295,7.9,NA
NA,2,70,108.3,276,7.8,NA
NA,0.8,30,88.5,346,8,NA
NA,1.2,25,92,351,8,NA
NA,3.3,30,84.1,346,7.9,NA
NA,10.2,20,78.6,330,7.7,0.096
NA,19.6,50,93.8,311,8.4,0.044
28.11,23,45,121.9,298,8.2,NA
3.84,18.8,30,75.9,314,8.3,0.16
NA,25.5,30,102,312,8.2,0.13
3.84,15.1,35,89.6,317,8.1,0.11
NA,16.5,35,141.8,317,8.9,NA
NA,6.9,50,113.3,313,8.3,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,6.3,40,77.8,344,NA,0.04
NA,5.9,50,79.3,348,7.8,0.12
NA,14.9,70,72.9,318,7.5,0.12
NA,20,70,67.8,325,7.6,0.18
NA,21,40,63.2,314,7.8,0.28
NA,25.8,60,110.1,344,8.1,0.14
NA,19.3,20,86.3,244,7.4,0.04
NA,12,40,116.3,328,8.4,0.02
NA,7.5,50,85.3,325,7.2,0.04
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,1.3,NA,NA,NA,7.9,NA
NA,3.3,NA,NA,NA,7.9,NA
NA,10.5,30,96.09,320,8,NA
NA,19.7,NA,NA,NA,8.8,NA
65.86,23.8,50,156.36,272,9,NA
6.8,18.2,NA,95.52,308,8.5,NA
NA,24.5,30,122.45,303,8.4,NA
18.65,15.5,40,NA,317,8.5,NA
NA,13.8,NA,131.45,322,8.7,NA
NA,7,30,115.61,308,7.9,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,12.4,NA,93.69,NA,8.02,0.05
NA,19.6,NA,104.85,NA,8.32,0.12
NA,9.4,NA,99.81,NA,7.98,0.05
NA,16.6,NA,64.68,230,7.84,0.05
NA,24.2,NA,108.62,200,8.95,0.05
NA,13.7,NA,97.41,179,8.15,0.05
NA,11.5,NA,71.62,235,7.84,0.18
NA,20.6,NA,94.74,214,8.31,0.05
NA,13.8,NA,113.09,180,8.6,0.05
315.4,14.4,10,149.82,171,9.4,NA
6.7,22.5,5,99.42,213,8.2,NA
11.8,11,5,NA,188,8.5,NA
10.6,16.2,NA,75.36,NA,7.7,NA
13.2,23,NA,96.85,NA,8.3,NA
23.3,16,NA,123.73,NA,9.2,NA
13.4,15,NA,100.2,NA,8.3,NA
19.3,18.4,NA,105.5,NA,8.4,NA
14.4,12,NA,109.56,NA,8.5,NA
68.9,24.6,0,157.56,NA,9.2,NA
11.6,14,0,99.03,NA,8.1,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
14.2,15,NA,110.12,163,9,NA
NA,NA,NA,NA,NA,NA,NA
12.6,NA,NA,NA,178,NA,NA
NA,NA,NA,NA,NA,NA,NA
20.3,NA,NA,NA,199,NA,NA
NA,NA,NA,NA,NA,NA,NA
10.5,NA,NA,NA,171,NA,NA
NA,NA,NA,NA,NA,NA,NA
10.7,13,20,87.37,211,7.6,0.1
NA,NA,NA,NA,NA,NA,NA
53.2,17,20,103.52,183,8.7,0.1
NA,NA,NA,NA,NA,NA,NA
21.4,7.2,10,97.92,170,7.9,NA
NA,NA,NA,NA,NA,NA,NA
49.3,13.2,20,104.92,223,8.6,NA
NA,NA,NA,NA,NA,NA,NA
19.7,22.2,10,117.27,208,8.7,NA
NA,NA,NA,NA,NA,NA,NA
NA,6,10,89.37,113,7.7,NA
NA,NA,NA,NA,NA,NA,NA
13.9,16.2,NA,75.36,NA,8.2,NA
27.8,22.2,NA,108.07,NA,8.6,NA
21.4,15.5,NA,120.36,NA,9.2,NA
61.6,16,NA,121.7,NA,8.8,NA
22.1,17.6,NA,104.82,NA,8.4,NA
14.2,12,NA,107.71,NA,8.3,NA
73.1,24,0,156.96,NA,9.2,NA
12.6,14,0,109.71,NA,8.5,NA
29,18,5,103.59,233,8.4,0.1
NA,NA,NA,NA,NA,NA,NA
13,20,5,80.4,213,7.5,NA
NA,NA,NA,NA,NA,NA,NA
8.6,16,NA,113.59,161,9.1,NA
NA,NA,NA,NA,NA,NA,NA
20.4,NA,NA,NA,175,NA,NA
NA,NA,NA,NA,NA,NA,NA
30.1,NA,NA,NA,203,NA,NA
NA,NA,NA,NA,NA,NA,NA
11.1,NA,NA,NA,172,NA,NA
NA,NA,NA,NA,NA,NA,NA
9.3,14,10,94.17,196,8,NA
NA,NA,NA,NA,NA,NA,NA
26.7,20,20,125.55,176,9.2,0.1
NA,NA,NA,NA,NA,NA,NA
36.1,8,10,110.08,169,8.5,NA
NA,NA,NA,NA,NA,NA,NA
24.7,15,20,102.18,214,8.5,NA
NA,NA,NA,NA,NA,NA,NA
14.8,21.8,10,119.81,212,8.9,NA
NA,NA,NA,NA,NA,NA,NA
1.5,8,20,88.06,132,7.7,NA
NA,NA,NA,NA,NA,NA,NA
NA,16.9,NA,70.25,234,7.86,0.05
NA,23.8,NA,110.16,199,8.99,0.05
NA,14.2,NA,112.13,128,8.59,0.05
NA,12.6,NA,90.34,214,8.22,0.05
NA,21.3,NA,97.19,213,8.3,0.05
NA,13.1,NA,110.4,181,8.6,0.05
18,14.5,5,105.99,171,8.6,NA
6.7,22,5,96.22,213,8.4,NA
14.1,11.5,5,112.03,168,8.9,0.016
20.5,16.8,NA,78.35,NA,8,NA
15.2,21,NA,104.49,NA,8.7,NA
10.4,15.6,NA,118.62,NA,9.1,NA
17.2,13,NA,87.37,NA,8.2,NA
32.7,18,NA,114.16,NA,8.7,NA
16.3,12.2,NA,111.92,NA,8.4,NA
21.4,24,0,136.74,NA,9,NA
10.1,14.6,0,111.13,NA,8.8,NA
19.4,18.2,5,92.34,237,8.3,0.1
NA,NA,NA,NA,NA,NA,NA
58.3,20.5,5,95.66,217,8.2,NA
NA,NA,NA,NA,NA,NA,NA
8,16,NA,118.66,160,9.1,NA
NA,NA,NA,NA,NA,NA,NA
7.6,NA,NA,NA,176,NA,NA
NA,NA,NA,NA,NA,NA,NA
10.3,NA,NA,NA,205,NA,NA
NA,NA,NA,NA,NA,NA,NA
7.8,NA,NA,NA,178,NA,NA
NA,NA,NA,NA,NA,NA,NA
73.8,12,10,102.14,196,8.4,NA
NA,NA,NA,NA,NA,NA,NA
20,19,10,119.74,176,9.2,0.1
NA,NA,NA,NA,NA,NA,NA
23.9,8.2,10,103.79,166,8.2,NA
NA,NA,NA,NA,NA,NA,NA
13.5,15.4,20,94.07,215,8.2,NA
NA,NA,NA,NA,NA,NA,NA
31.3,21.4,10,127.94,209,9,NA
NA,NA,NA,NA,NA,NA,NA
NA,9,20,94.54,140,7.7,NA
NA,NA,NA,NA,NA,NA,NA
14,17.1,NA,81.95,NA,8.1,NA
4,21.2,NA,101.51,NA,8.6,NA
10.4,15,NA,117.06,NA,9.1,NA
33.4,13,NA,93.07,NA,8.4,NA
41.2,17.8,NA,114.74,NA,8.6,NA
16,12,NA,108.64,NA,8.5,NA
7.6,24.2,0,107.42,NA,8.7,NA
11.7,15,0,113.09,NA,8.7,NA
28.2,18.2,5,96.58,236,8.4,0.1
NA,NA,NA,NA,NA,NA,NA
26.6,20,5,84.8,216,7.9,NA
NA,NA,NA,NA,NA,NA,NA
10.7,16,NA,119.67,162,9.1,NA
NA,NA,NA,NA,NA,NA,NA
4.8,NA,NA,NA,175,NA,NA
NA,NA,NA,NA,NA,NA,NA
8.8,NA,NA,NA,205,NA,NA
NA,NA,NA,NA,NA,NA,NA
19.3,NA,NA,NA,179,NA,NA
NA,NA,NA,NA,NA,NA,NA
47.9,13,10,97.82,196,8.2,NA
NA,NA,NA,NA,NA,NA,NA
22.5,19,10,127.29,175,9.3,0.1
NA,NA,NA,NA,NA,NA,NA
35.4,8,10,107.54,167,8.4,NA
NA,NA,NA,NA,NA,NA,NA
3.4,15.4,10,80.06,215,8.3,NA
NA,NA,NA,NA,NA,NA,NA
21.1,21.5,10,119.11,208,8.9,NA
NA,NA,NA,NA,NA,NA,NA
NA,9,20,93.67,136,7.7,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,11.1,NA,79.19,261,7.7,NA
NA,NA,NA,NA,NA,NA,NA
NA,21.7,NA,99.08,230,8,NA
NA,22.3,NA,103.66,212,8.5,NA
NA,19.9,NA,111,177,8.7,NA
NA,NA,NA,NA,NA,NA,NA
NA,10.1,NA,108.59,149,8.3,NA
NA,NA,NA,NA,NA,NA,NA
NA,0,NA,97.68,200,7.9,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,14.6,NA,107.2,197,7.9,NA
NA,NA,NA,NA,NA,NA,NA
NA,20.5,NA,105.67,203,8.1,NA
NA,23.4,NA,108.16,196,8.6,NA
NA,NA,NA,NA,NA,NA,NA
NA,17.9,NA,114.98,91,7.8,NA
NA,9.2,NA,104.57,188,7.9,NA
NA,8.2,NA,143.78,199,7.6,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,7.5,NA,93.64,205,7.6,NA
NA,11.6,NA,95.71,197,7.9,NA
NA,19.8,NA,67,211,7.5,NA
NA,20.4,NA,91.03,176,8.2,NA
NA,14.5,NA,107.95,132,8,NA
NA,1.8,NA,88.49,244,7.7,NA
NA,12.3,NA,90.2,NA,7.87,0.05
NA,19.2,NA,84,NA,7.97,0.12
NA,10.6,NA,100.4,NA,8.19,0.05
8.1,17.1,NA,65.2,232,7.74,0.05
8.7,22.8,NA,54.4,199,8.91,0.05
11.9,13.7,NA,96.9,127,8.68,0.05
11.3,12.6,NA,116,212,8.34,0.05
6.8,20.8,NA,41.7,212,8.32,0.05
8.9,13,NA,111.11,182,8.5,0.005
12.7,13.2,5,94.43,168,8.2,NA
6.2,21.5,5,89.62,213,8.3,NA
7.6,11.2,5,107.64,167,8.7,NA
19,17,NA,87.99,NA,8.9,NA
26.9,21,NA,112.36,NA,8.7,0.1
14.9,14.6,NA,117.03,NA,9,NA
10.2,13,NA,71.23,NA,7.8,NA
17.3,18,NA,107.82,NA,8.5,NA
15.4,12,NA,108.64,NA,8.4,NA
11.4,23,0,106.18,NA,8.7,NA
11.3,15,0,114.09,NA,8.8,NA
26.8,18.2,5,88.09,236,8.2,NA
NA,NA,NA,NA,NA,NA,NA
34.2,20,NA,90.31,216,8.2,NA
NA,NA,NA,NA,NA,NA,NA
12.8,15,NA,115.08,153,9.1,NA
NA,NA,NA,NA,NA,NA,NA
5.3,NA,NA,NA,175,NA,NA
NA,NA,NA,NA,NA,NA,NA
8.5,NA,NA,NA,204,NA,NA
NA,NA,NA,NA,NA,NA,NA
24.6,NA,NA,NA,176,NA,NA
NA,NA,NA,NA,NA,NA,NA
9.5,13,10,93.07,196,8.2,NA
NA,NA,NA,NA,NA,NA,NA
23.5,20,10,131.06,175,9.3,0.1
NA,NA,NA,NA,NA,NA,NA
44.7,9,10,112.75,168,8.5,NA
NA,NA,NA,NA,NA,NA,NA
5,15.2,10,79.71,213,8.1,NA
NA,NA,NA,NA,NA,NA,NA
16.3,21.8,10,115.24,208,8.9,NA
NA,NA,NA,NA,NA,NA,NA
1.3,8.5,20,89.97,137,7.8,NA
NA,NA,NA,NA,NA,NA,NA
